City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Laguna,38.421,-121.4238,53.2,88,0,0.0,US,1645277633
1,Butaritari,3.0707,172.7902,80.35,83,100,18.88,KI,1645277687
2,Avarua,-21.2078,-159.775,77.05,88,75,3.44,CK,1645277687
3,Touros,-5.1989,-35.4608,86.9,63,91,12.01,BR,1645277687
4,Bluff,-46.6,168.3333,45.81,69,48,6.24,NZ,1645277687
5,Kavieng,-2.5744,150.7967,82.81,79,96,16.78,PG,1645277688
6,Cayenne,4.9333,-52.3333,79.09,86,100,5.75,GF,1645277688
7,Cape Town,-33.9258,18.4232,81.09,45,0,13.8,ZA,1645277659
8,Abu Kamal,34.4506,40.9171,66.04,32,100,19.51,SY,1645277688
9,Togur,58.3631,82.8265,13.53,96,30,6.91,RU,1645277688
10,La Santisima Trinidad,-14.8333,-64.9,80.58,83,40,2.3,BO,1645277688
11,Mutoko,-17.397,32.2268,69.8,73,99,1.95,ZW,1645277688
12,Albany,42.6001,-73.9662,28.8,65,100,8.16,US,1645277688
13,Ponta do Sol,32.6667,-17.1,62.01,62,55,11.3,PT,1645277603
14,Mataura,-46.1927,168.8643,45.48,93,11,1.9,NZ,1645277688
15,Kavaratti,10.5669,72.642,81.57,70,0,6.89,IN,1645277688
16,Eureka,40.8021,-124.1637,42.26,95,0,3.91,US,1645277467
17,Castro,-24.7911,-50.0119,74.82,54,0,4.52,BR,1645277689
18,Longyearbyen,78.2186,15.6401,3.04,78,20,13.8,SJ,1645277523
19,Poum,-20.2333,164.0167,80.71,76,100,13.76,NC,1645277689
20,Ribeira Grande,38.5167,-28.7,57.6,51,75,3.44,PT,1645277689
21,Vaini,-21.2,-175.2,78.96,89,20,4.61,TO,1645277689
22,Kuytun,54.3419,101.5036,10.72,98,100,4.05,RU,1645277689
23,Okhotsk,59.3833,143.3,-6.36,90,94,6.96,RU,1645277689
24,Lebu,-37.6167,-73.65,62.37,75,0,7.23,CL,1645277689
25,New Norfolk,-42.7826,147.0587,56.75,90,100,3.51,AU,1645277689
26,Port Alfred,-33.5906,26.891,82.33,67,2,20.42,ZA,1645277690
27,Ginda,30.6945,78.4932,49.17,61,51,3.53,IN,1645277690
28,Ushuaia,-54.8,-68.3,44.26,49,40,6.91,AR,1645277690
29,Suffolk,40.8668,-72.7996,35.65,67,0,8.05,US,1645277690
30,Kenai,60.5544,-151.2583,33.89,85,0,10.36,US,1645277690
31,Bredasdorp,-34.5322,20.0403,79.92,39,88,24.16,ZA,1645277690
32,Letka,59.6011,49.4232,30.9,92,99,10.31,RU,1645277690
33,Upernavik,72.7868,-56.1549,-12.62,83,93,2.77,GL,1645277481
34,Bairiki Village,1.3292,172.9752,82.4,78,75,10.36,KI,1645277690
35,Hambantota,6.1241,81.1185,82.74,83,40,6.91,LK,1645277690
36,Verkhnevilyuysk,63.4453,120.3167,-24.03,100,91,2.71,RU,1645277690
37,Rikitea,-23.1203,-134.9692,77.79,72,16,10.18,PF,1645277690
38,Ubari,26.5921,12.7805,71.51,15,3,11.99,LY,1645277691
39,Hutchinson,38.0608,-97.9298,26.35,55,0,3.44,US,1645277691
40,Mahébourg,-20.4081,57.7,82.69,83,75,20.71,MU,1645277691
41,Skjervøy,70.0311,20.9714,29.89,55,100,9.06,NO,1645277691
42,Qaanaaq,77.484,-69.3632,-0.81,51,16,8.55,GL,1645277691
43,Tsabong,-26.0217,22.401,88.74,32,73,16.6,BW,1645277691
44,Marabu,4.4148,114.0089,78.94,94,40,3.44,MY,1645277691
45,Arraial do Cabo,-22.9661,-42.0278,82.36,78,75,4.61,BR,1645277691
46,Puerto del Rosario,28.5004,-13.8627,71.28,68,40,14.97,ES,1645277421
47,Norman Wells,65.282,-126.8329,-16.56,69,100,4.61,CA,1645277692
48,Chui,-33.6971,-53.4616,78.91,52,6,3.8,UY,1645277692
49,Talnakh,69.4865,88.3972,16.21,94,100,16.84,RU,1645277487
50,Sainte-Suzanne,-20.9061,55.6089,82.58,83,100,29.93,RE,1645277692
51,Amga,60.8953,131.9608,-21.77,100,100,1.05,RU,1645277692
52,Lagoa,39.05,-27.9833,53.29,54,59,1.59,PT,1645277692
53,Kidal,18.4411,1.4078,89.85,8,62,11.95,ML,1645277692
54,Hilo,19.7297,-155.09,69.24,84,100,6.91,US,1645277501
55,Atuona,-9.8,-139.0333,77.83,72,2,19.8,PF,1645277692
56,Egvekinot,66.3167,-179.1667,-18.78,86,9,15.03,RU,1645277404
57,Ahipara,-35.1667,173.1667,63.55,92,10,3.15,NZ,1645277692
58,Cabo San Lucas,22.8909,-109.9124,65.52,76,40,6.91,MX,1645277692
59,Punta Arenas,-53.15,-70.9167,42.91,75,75,14.97,CL,1645277508
60,Katsuura,35.1333,140.3,55.42,85,100,28.54,JP,1645277693
61,San Patricio,28.017,-97.5169,53.46,59,50,9.31,US,1645277693
62,San Jose,37.3394,-121.895,55.58,63,0,4.61,US,1645277693
63,Tacuarembó,-31.7333,-55.9833,84.58,35,0,7.11,UY,1645277693
64,Port Elizabeth,-33.918,25.5701,81.1,61,0,5.75,ZA,1645277693
65,Yushala,57.0761,64.2601,24.55,76,1,10.33,RU,1645277693
66,Thompson,55.7435,-97.8558,-29.04,75,100,2.3,CA,1645277693
67,Bonthe,7.5264,-12.505,89.62,51,15,13.09,SL,1645277693
68,Mandera,3.9366,41.867,99.25,18,76,9.93,KE,1645277693
69,Carnarvon,-24.8667,113.6333,87.87,62,78,14.97,AU,1645277694
70,Karratha,-20.7377,116.8463,90.75,51,5,2.75,AU,1645277694
71,Vanavara,60.34,102.2797,-0.29,99,100,2.82,RU,1645277694
72,Coffs Harbour,-30.3,153.1333,68.27,90,75,9.22,AU,1645277694
73,Prikubanskiy,45.0015,41.1795,45.66,94,100,5.84,RU,1645277694
74,Premnitz,52.5333,12.3333,47.28,66,49,17.65,DE,1645277694
75,Hobart,-42.8794,147.3294,57.11,84,100,6.91,AU,1645277663
76,Constantine,36.365,6.6147,69.21,30,0,11.5,DZ,1645277694
77,Shitanjing,39.2342,106.3439,13.05,32,0,3.87,CN,1645277694
78,Endwell,42.1129,-76.021,28.94,68,100,8.99,US,1645277694
79,Mar del Plata,-38.0023,-57.5575,71.62,90,75,11.99,AR,1645277695
80,Santa Cruz de la Sierra,-17.8,-63.1667,80.65,74,20,10.36,BO,1645277695
81,Ploemeur,47.7333,-3.4333,51.85,70,75,24.16,FR,1645277683
82,Jamestown,42.097,-79.2353,20.01,69,100,19.57,US,1645277695
83,Marsá Maţrūḩ,31.3525,27.2453,62.8,63,40,18.41,EG,1645277695
84,Busselton,-33.65,115.3333,72.09,65,99,15.82,AU,1645277695
85,Sri Aman,1.2376,111.4621,78.85,100,100,0.0,MY,1645277695
86,Garoowe,8.4054,48.4845,91.18,17,5,13.65,SO,1645277695
87,Saint-Philippe,-21.3585,55.7679,81.95,92,100,21.92,RE,1645277695
88,Hong Kong,22.2855,114.1577,52.25,94,100,8.99,HK,1645277567
89,Katangli,51.7102,143.2326,11.55,95,100,10.42,RU,1645277696
90,Bengkulu,-3.8004,102.2655,79.34,81,87,2.15,ID,1645277696
91,Lorengau,-2.0226,147.2712,81.18,83,100,8.99,PG,1645277696
92,Datong,40.0936,113.2914,6.55,86,4,1.54,CN,1645277666
93,Yazoo City,32.8551,-90.4056,30.9,56,0,2.71,US,1645277696
94,Mitsamiouli,-11.3847,43.2844,89.89,66,20,6.91,KM,1645277696
95,Ginir,7.1333,40.7,81.07,18,9,12.64,ET,1645277510
96,Bilma,18.6853,12.9164,79.3,10,29,9.95,NE,1645277696
97,Derazhnya,49.2692,27.4338,46.11,53,96,18.01,UA,1645277696
98,Kahului,20.8947,-156.47,72.84,87,20,3.44,US,1645277696
99,Meulaboh,4.1363,96.1285,80.55,79,16,0.56,ID,1645277696
100,Portland,45.5234,-122.6762,42.17,94,100,1.99,US,1645277544
101,Alta Floresta,-9.8756,-56.0861,78.62,89,75,9.22,BR,1645277697
102,Gravdal,68.1214,13.5031,29.88,64,75,6.91,NO,1645277697
103,Gusev,54.5922,22.1997,36.59,96,100,23.24,RU,1645277697
104,Lopandino,52.4666,34.8163,35.04,93,100,20.71,RU,1645277697
105,Calama,-22.4667,-68.9333,61.29,44,0,16.11,CL,1645277697
106,Deputatsky,69.3,139.9,-33.66,100,76,1.7,RU,1645277605
107,Ixtapa,20.7,-105.2,65.23,100,0,2.3,MX,1645277697
108,Provideniya,64.3833,-173.3,-13.95,93,26,4.54,RU,1645277697
109,Warrnambool,-38.3833,142.4833,53.82,78,96,4.21,AU,1645277697
110,Taoudenni,22.6783,-3.9836,83.07,8,99,10.51,ML,1645277698
111,Norwich,52.6278,1.2983,43.12,85,75,16.11,GB,1645277400
112,Chennai,13.0878,80.2785,81.97,74,20,6.91,IN,1645277609
113,Nishihara,26.1842,127.7558,63.68,83,75,25.32,JP,1645277698
114,Turukhansk,65.8167,87.9833,21.18,95,100,17.05,RU,1645277698
115,Shimoda,34.6667,138.95,46.51,91,100,19.39,JP,1645277698
116,Springdale,36.1867,-94.1288,32.49,80,0,4.61,US,1645277698
117,Bethel,41.3712,-73.414,32.49,65,0,9.22,US,1645277698
118,Chokurdakh,70.6333,147.9167,-33.56,100,100,1.88,RU,1645277698
119,Acapulco de Juárez,16.8634,-99.8901,73.22,88,0,3.44,MX,1645277699
120,Saint Paul Harbor,57.79,-152.4072,38.71,70,20,12.66,US,1645277699
121,Dingle,10.9995,122.6711,76.57,87,75,7.09,PH,1645277699
122,Youkounkoun,12.5333,-13.1333,100.13,7,3,7.49,GN,1645277699
123,Shipitsyno,61.2806,46.5208,28.71,89,94,11.5,RU,1645277699
124,Ajdabiya,30.7554,20.2263,63.09,62,11,11.92,LY,1645277699
125,Lerwick,60.1545,-1.1494,41.0,60,30,15.17,GB,1645277699
