,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,80.56,89,87,1.99,EC,1645454359
1,Kruisfontein,-34.0033,24.7314,72.88,60,18,16.67,ZA,1645454360
2,Hasaki,35.7333,140.8333,36.0,41,6,22.7,JP,1645454361
3,Ushuaia,-54.8,-68.3,55.06,62,0,4.61,AR,1645454356
4,George Town,5.4112,100.3354,84.13,87,40,0.0,MY,1645454362
5,La Santisima Trinidad,-14.8333,-64.9,82.38,74,75,9.22,BO,1645454363
6,Hobart,-42.8794,147.3294,50.25,60,45,8.05,AU,1645454198
7,Rikitea,-23.1203,-134.9692,76.28,74,19,9.42,PF,1645454365
8,Borovoy,55.4333,86.0833,22.28,58,0,8.95,RU,1645454365
9,Katsuura,35.1333,140.3,39.31,46,18,9.15,JP,1645454366
10,Karratha,-20.7377,116.8463,86.31,68,100,9.26,AU,1645454367
11,Qaanaaq,77.484,-69.3632,-9.99,60,90,7.47,GL,1645454368
12,Umluj,25.0213,37.2685,75.06,42,0,19.17,SA,1645454368
13,Manokwari,-0.8667,134.0833,77.79,89,100,3.13,ID,1645454369
14,São João da Barra,-21.6403,-41.0511,87.89,81,62,5.06,BR,1645454370
15,Castaños,26.7833,-101.4167,65.34,41,0,0.0,MX,1645454371
16,Lata,40.1629,-8.3327,70.72,45,45,7.18,PT,1645454372
17,Webster,42.0501,-71.8801,41.95,60,71,9.98,US,1645454372
18,Port Hedland,-20.3167,118.5667,82.45,94,21,6.91,AU,1645454374
19,Chara,56.9064,118.2631,-4.32,84,99,2.21,RU,1645454374
20,Pangnirtung,66.1451,-65.7125,-31.0,75,20,0.0,CA,1645454375
21,San Rafael,-34.6177,-68.3301,57.99,93,100,16.6,AR,1645454376
22,Ilo,-17.6394,-71.3375,74.26,69,0,13.8,PE,1645454377
23,Pelym,61.0108,61.9978,27.23,98,89,5.3,RU,1645454378
24,Ndola,-12.9587,28.6366,72.01,84,94,4.52,ZM,1645454379
25,Terme,41.2092,36.9739,54.97,75,97,5.17,TR,1645454380
26,Sibolga,1.7427,98.7792,78.01,84,100,2.91,ID,1645454381
27,Bluff,-46.6,168.3333,59.67,63,97,17.13,NZ,1645454382
28,Panórama,40.5878,23.0315,62.38,58,20,11.5,GR,1645454383
29,Clyde River,70.4692,-68.5914,-18.17,63,75,17.27,CA,1645454383
30,Yellowknife,62.456,-114.3525,-31.59,86,20,8.05,CA,1645454145
31,Rawson,-43.3002,-65.1023,56.3,56,94,19.82,AR,1645454385
32,Djenné,13.9061,-4.5533,99.73,6,11,12.28,ML,1645454387
33,Kupang,-10.1667,123.5833,78.01,83,100,1.74,ID,1645454388
34,Albany,42.6001,-73.9662,42.73,54,75,2.71,US,1645453900
35,Sarab,38.6066,44.9883,41.88,63,31,3.67,IR,1645454389
36,Tiksi,71.6872,128.8694,-9.69,99,99,7.72,RU,1645454390
37,São Filipe,14.8961,-24.4956,71.64,70,99,9.95,CV,1645454390
38,Plettenberg Bay,-34.0527,23.3716,69.78,69,42,4.9,ZA,1645454391
39,Butaritari,3.0707,172.7902,81.3,81,99,20.6,KI,1645454392
40,Ciudad del Carmen,18.6333,-91.8333,73.44,88,40,11.5,MX,1645454393
41,Ilulissat,69.2167,-51.1,-2.18,65,40,6.91,GL,1645454394
42,Souillac,-20.5167,57.5167,82.78,83,40,24.16,MU,1645454395
43,Sazonovo,59.0919,35.2268,28.83,92,100,6.22,RU,1645454396
44,Te Anau,-45.4167,167.7167,56.71,82,99,6.73,NZ,1645454396
45,Kapaa,22.0752,-159.319,65.12,70,20,5.75,US,1645454397
46,San Vicente,-26.6167,-54.1333,71.98,80,93,5.44,AR,1645454398
47,Mayumba,-3.432,10.6554,82.89,71,100,7.92,GA,1645454399
48,San Cristobal,7.7669,-72.225,66.38,38,30,1.99,VE,1645454400
49,Busselton,-33.65,115.3333,68.09,70,0,9.89,AU,1645454400
50,Port Blair,11.6667,92.75,77.04,78,20,2.3,IN,1645454402
51,Buraidah,26.326,43.975,70.25,21,0,9.51,SA,1645454403
52,Saint-Philippe,-21.3585,55.7679,81.99,92,100,31.14,RE,1645454404
53,Hambantota,6.1241,81.1185,80.94,94,20,2.3,LK,1645454405
54,Tateyama,34.9833,139.8667,39.22,49,13,9.95,JP,1645454327
55,Mataura,-46.1927,168.8643,50.83,82,68,4.32,NZ,1645454408
56,Cape Town,-33.9258,18.4232,79.09,51,40,12.66,ZA,1645454408
57,Arāria,26.15,87.5167,65.26,35,3,6.06,IN,1645454409
58,Port Alfred,-33.5906,26.891,73.8,63,36,15.48,ZA,1645454410
59,Mogadishu,2.0371,45.3438,82.27,74,0,18.41,SO,1645454411
60,Atherton,53.5237,-2.4935,51.66,73,88,15.01,GB,1645454376
61,Azul,-36.777,-59.8585,75.52,45,60,13.85,AR,1645454186
62,Sambava,-14.2667,50.1667,82.49,82,100,7.45,MG,1645454413
63,Henties Bay,-22.116,14.2845,73.85,77,16,10.51,NA,1645454413
64,Lerwick,60.1545,-1.1494,41.0,54,10,26.84,GB,1645454414
65,Chernyshevskiy,63.0128,112.4714,10.72,92,45,9.84,RU,1645454415
66,Klaksvík,62.2266,-6.589,36.52,51,54,10.07,FO,1645454416
67,East London,-33.0153,27.9116,76.14,64,0,12.66,ZA,1645454416
68,Longyearbyen,78.2186,15.6401,-2.36,60,20,8.05,SJ,1645454417
69,Hermanus,-34.4187,19.2345,73.8,72,0,15.35,ZA,1645454418
70,New Norfolk,-42.7826,147.0587,49.91,55,67,1.01,AU,1645454419
71,Arman',59.7,150.1667,-14.44,82,3,8.05,RU,1645454419
72,Hirara,24.8,125.2833,64.58,71,100,21.56,JP,1645454354
73,Kahului,20.8947,-156.47,75.85,87,20,9.22,US,1645454421
74,Mouzourás,35.5333,24.15,66.2,68,40,8.05,GR,1645454421
75,Zhigansk,66.7697,123.3711,-6.83,98,100,16.71,RU,1645454422
76,Castro,-24.7911,-50.0119,80.87,49,94,5.3,BR,1645454423
77,Punta Arenas,-53.15,-70.9167,57.31,67,0,12.66,CL,1645454424
78,Lebu,-37.6167,-73.65,64.74,56,2,2.8,CL,1645454424
79,Yulara,-25.2406,130.9889,78.64,29,0,10.36,AU,1645454425
80,Usakos,-22.0,15.6,96.24,26,33,12.1,NA,1645454426
81,Cortez,37.3489,-108.5859,35.69,43,20,5.75,US,1645454427
82,Aklavik,68.2191,-135.0107,-15.77,92,8,14.43,CA,1645454428
83,Mitsamiouli,-11.3847,43.2844,88.09,74,75,9.22,KM,1645454430
84,Andros Town,24.7,-77.7667,76.96,63,0,16.37,BS,1645454421
85,Tazovsky,67.4667,78.7,14.67,95,100,14.58,RU,1645454431
86,Palmito,9.3333,-75.55,86.09,47,6,9.98,CO,1645454432
87,Qui Nhon,13.7667,109.2333,69.85,82,99,18.59,VN,1645454433
88,Robertson,36.5167,-86.8667,55.99,51,43,5.99,US,1645454434
89,Dikson,73.5069,80.5464,13.8,92,100,18.63,RU,1645454435
90,Mahébourg,-20.4081,57.7,82.69,83,40,24.16,MU,1645454435
91,Blackwater,-23.5833,148.8833,74.17,78,0,8.81,AU,1645454175
92,Hithadhoo,-0.6,73.0833,83.05,68,16,8.46,MV,1645454437
93,Pangody,65.85,74.4859,18.52,94,100,14.92,RU,1645454437
94,Atuona,-9.8,-139.0333,78.04,74,5,18.88,PF,1645454438
95,Dingle,10.9995,122.6711,74.59,90,99,6.89,PH,1645454448
96,Fuerte Olimpo,-21.0415,-57.8738,96.93,37,9,7.81,PY,1645454449
97,Mvuma,-19.2792,30.5283,79.7,42,82,9.26,ZW,1645454450
98,Soyo,-6.1349,12.3689,83.95,70,76,10.16,AO,1645454452
99,Yangi Marg`ilon,40.4272,71.7189,52.52,30,0,2.3,UZ,1645454453
100,Avarua,-21.2078,-159.775,78.85,89,40,11.5,CK,1645454405
101,Severo-Kuril'sk,50.6789,156.125,30.76,96,100,44.18,RU,1645454454
102,Mandalgovi,45.7625,106.2708,6.1,64,0,8.59,MN,1645454455
103,Hilo,19.7297,-155.09,70.79,87,100,6.91,US,1645454370
104,Pangoa,-12.1167,-73.0,70.0,98,100,1.36,PE,1645454456
105,Warrington,53.3925,-2.5802,51.48,73,40,25.32,GB,1645454456
106,Jamestown,42.097,-79.2353,45.72,45,0,8.05,US,1645454253
107,Port Elizabeth,-33.918,25.5701,75.09,56,0,18.41,ZA,1645454458
108,Auki,-8.7676,160.7034,78.24,87,97,3.02,SB,1645454458
109,Saint George,37.1041,-113.5841,56.25,25,75,11.5,US,1645454250
110,Poum,-20.2333,164.0167,82.17,77,100,16.11,NC,1645454461
111,Cabo San Lucas,22.8909,-109.9124,64.15,69,0,12.59,MX,1645454416
112,Najrān,17.4924,44.1277,72.25,17,47,11.56,SA,1645454463
113,Lüderitz,-26.6481,15.1594,79.12,48,2,25.59,NA,1645454464
114,Lavrentiya,65.5833,-171.0,16.2,95,100,15.14,RU,1645454465
115,São Gabriel da Cachoeira,-0.1303,-67.0892,85.8,70,20,6.91,BR,1645454466
116,Moscow,55.7522,37.6156,36.12,89,100,6.17,RU,1645454271
117,Alta Floresta,-9.8756,-56.0861,75.02,100,100,3.44,BR,1645454467
118,Bredasdorp,-34.5322,20.0403,78.12,41,0,19.57,ZA,1645454468
119,Mar del Plata,-38.0023,-57.5575,69.82,88,75,19.57,AR,1645454469
120,Saint Paul Harbor,57.79,-152.4072,36.91,93,100,0.0,US,1645454469
121,Tuktoyaktuk,69.4541,-133.0374,-25.6,68,0,8.05,CA,1645454470
122,Konotop,51.2403,33.2026,41.99,67,100,16.4,UA,1645454471
123,Smithers,54.7804,-127.1743,5.32,56,20,4.61,CA,1645454471
124,Chokurdakh,70.6333,147.9167,-43.82,100,55,3.96,RU,1645454472
125,Rocha,-34.4833,-54.3333,73.22,77,75,14.99,UY,1645454409
126,Bahía Solano,6.2262,-77.4044,80.85,76,84,8.99,CO,1645454474
127,Yugorsk,61.3133,63.3319,29.34,89,99,8.39,RU,1645454475
128,Richards Bay,-28.783,32.0377,80.38,73,14,10.16,ZA,1645454477
129,Bahía Honda,22.9036,-83.1592,78.64,69,5,10.54,CU,1645454480
130,Belmonte,-15.8631,-38.8828,84.7,61,27,5.88,BR,1645454481
131,Beatrice,40.2681,-96.747,39.45,80,0,3.44,US,1645454437
132,College,64.8569,-147.8028,14.79,74,100,4.61,US,1645454272
133,Moree,-29.4667,149.85,73.42,64,100,12.66,AU,1645454485
134,Olafsvik,64.8945,-23.7142,36.36,98,100,27.51,IS,1645454486
135,Khatanga,71.9667,102.5,12.45,90,100,8.34,RU,1645454487
136,Berlevåg,70.8578,29.0864,15.75,79,40,10.36,NO,1645454487
137,Grand Gaube,-20.0064,57.6608,82.8,84,63,11.01,MU,1645454488
138,Pirmasens,49.2015,7.6053,42.75,90,98,21.27,DE,1645454489
139,Cayenne,4.9333,-52.3333,76.08,92,100,5.99,GF,1645454401
140,Inta,66.0317,60.1659,23.86,97,100,6.33,RU,1645454491
141,Barabai,-2.5833,115.3833,73.15,93,100,1.95,ID,1645454491
